;genus;Latitude;Longitude;glc19SpId;code;eltoncode
0;Hyla;43.534363;4.643783999999999;1;W_8;8
1;Hyla;43.627907;4.5278480000000005;1;W_8;8
2;Hyla;48.848282;6.943917;10;W_8;8
3;Hyla;48.905803999999996;8.12851;10;W_8;8
4;Hyla;48.699047;1.8350229999999998;10;W_8;8
5;Hyla;43.484814;4.693909;1;W_8;8
6;Hyla;50.794125;1.614897;10;W_8;8
7;Hyla;43.491787;4.654083;1;W_8;8
8;Hyla;43.916667;0.405;1;W_8;8
9;Hyla;43.511379999999996;3.8307519999999995;1;W_8;8
10;Hyla;43.66667;3.7166699999999997;1;W_8;8
11;Hyla;43.449444;4.726111;1;W_8;8
12;Hyla;43.78239;-0.66535;1;W_8;8
13;Hyla;43.46718;4.91481;1;W_8;8
14;Hyla;43.5732;3.4331300000000002;1;W_8;8
15;Hyla;45.889520000000005;5.3859699999999995;10;W_8;8
16;Hyla;43.6314;5.663869999999999;1;W_8;8
17;Hyla;49.16217;-1.4578799999999998;10;W_8;8
18;Hyla;50.22582;1.6702299999999999;10;W_8;8
19;Hyla;43.73236;5.17195;1;W_8;8
20;Hyla;46.46158;-1.3674;10;W_8;8
21;Hyla;43.18184;5.64314;1;W_8;8
22;Hyla;42.98531;6.24709;1;W_8;8
23;Hyla;43.30401;2.81524;1;W_8;8
24;Hyla;48.87645;1.56835;10;W_8;8
25;Hyla;48.878009999999996;1.7046700000000001;10;W_8;8
26;Hyla;48.525220000000004;2.93229;10;W_8;8
27;Hyla;48.70466;2.66027;10;W_8;8
28;Hyla;48.698159999999994;1.70913;10;W_8;8
29;Hyla;48.69955;1.8449900000000001;10;W_8;8
30;Hyla;48.78948;1.8430000000000002;10;W_8;8
31;Hyla;48.52507;2.7968599999999997;10;W_8;8
32;Hyla;48.96637;1.56587;10;W_8;8
33;Hyla;48.7946;2.65968;10;W_8;8
34;Hyla;48.70512;2.93205;10;W_8;8
35;Hyla;48.435109999999995;2.7972099999999998;10;W_8;8
36;Hyla;48.974920000000004;2.9317;10;W_8;8
37;Hyla;43.84258;3.55951;1;W_8;8
38;Hyla;50.22423;1.5302799999999999;10;W_8;8
39;Hyla;43.55924;4.7941199999999995;1;W_8;8
40;Hyla;43.42694;6.5191300000000005;1;W_8;8
41;Hyla;43.337070000000004;6.5136400000000005;1;W_8;8
42;Hyla;43.341;6.39051;1;W_8;8
43;Hyla;48.9775;-1.57885;10;W_8;8
44;Hyla;45.712140000000005;5.2497300000000005;10;W_8;8
45;Hyla;42.51834;8.77727;39;W_8;8
46;Hyla;43.66261;3.55776;1;W_8;8
47;Hyla;45.98218;5.260759999999999;10;W_8;8
48;Hyla;42.60135;8.90753;39;W_8;8
49;Hyla;43.83889;4.05681;1;W_8;8
